Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,53.639999,53.820000,52.860001,53.150002,51.572937,16102100
2017-02-02,52.950001,53.099998,52.369999,52.660000,51.097477,14481200
2017-02-03,52.950001,53.220001,52.750000,52.980000,51.407978,10965300
2017-02-06,53.310001,53.410000,52.820000,52.880001,51.310947,8215100
2017-02-07,53.220001,53.279999,52.759998,53.270000,51.689377,10374100
2017-02-08,53.389999,53.389999,52.720001,52.889999,51.320648,9229000
2017-02-09,52.910000,53.099998,52.759998,52.880001,51.310947,7612100
2017-02-10,53.099998,54.279999,52.930000,54.000000,52.397713,14042200
2017-02-13,54.580002,55.130001,54.259998,54.930000,53.300117,14516200
2017-02-14,55.430000,55.520000,54.820000,55.480000,53.833794,13061700
2017-02-15,55.630001,56.500000,55.490002,56.490002,54.813831,14149200
2017-02-16,56.580002,56.900002,56.450001,56.880001,55.192257,11622900
2017-02-17,56.849998,56.939999,56.049999,56.459999,54.784718,12456600
2017-02-21,56.830002,57.189999,56.580002,56.750000,55.066116,9878200
2017-02-22,56.779999,57.099998,56.480000,57.099998,55.405727,8686000
2017-02-23,57.009998,57.310001,56.770000,57.139999,55.444542,10152800
2017-02-24,57.020000,57.230000,56.500000,57.220001,55.522171,10644800
2017-02-27,56.560001,56.980000,56.310001,56.730000,55.561344,7127600
2017-02-28,56.490002,56.520000,55.889999,56.480000,55.316494,10388200
2017-03-01,56.930000,57.080002,56.270000,57.009998,55.835575,11082400
2017-03-02,56.950001,57.150002,56.240002,56.369999,55.208759,8451700
2017-03-03,56.520000,56.570000,56.000000,56.439999,55.277317,6971400
2017-03-06,56.270000,56.560001,56.070000,56.450001,55.287113,7241600
2017-03-07,56.599998,56.820000,56.189999,56.730000,55.561344,7131700
2017-03-08,56.919998,58.080002,56.799999,57.770000,56.579918,13201700
2017-03-09,57.650002,58.099998,57.400002,57.970001,56.775803,9875600
2017-03-10,58.360001,58.790001,58.299999,58.639999,57.431995,9752000
2017-03-13,59.029999,59.040001,58.200001,58.459999,57.255703,7737900
2017-03-14,58.380001,58.380001,57.720001,58.220001,57.020653,6276900
2017-03-15,58.419998,58.750000,58.180000,58.520000,57.314472,9029500
2017-03-16,58.299999,58.730000,58.160000,58.349998,57.147972,7206200
2017-03-17,58.570000,58.610001,57.509998,57.549999,56.364452,20057800
2017-03-20,57.790001,58.070000,57.590000,57.810001,56.619099,7498200
2017-03-21,57.930000,58.099998,56.740002,56.799999,55.629902,10092600
2017-03-22,56.730000,57.130001,56.099998,57.040001,55.864960,9129700
2017-03-23,57.160000,57.270000,56.590000,56.810001,55.639702,7718700
2017-03-24,57.470001,57.470001,56.639999,56.919998,55.747429,5621400
2017-03-27,56.720001,56.939999,56.480000,56.660000,55.492786,4726300
2017-03-28,56.669998,57.610001,56.669998,57.380001,56.197956,5953500
2017-03-29,57.090000,57.369999,56.860001,57.360001,56.178368,4042600
2017-03-30,57.360001,57.650002,57.189999,57.200001,56.021664,6359000
2017-03-31,57.459999,57.689999,56.970001,57.340000,56.158779,10065000
2017-04-03,57.259998,57.340000,56.040001,56.500000,55.336082,11343500
2017-04-04,56.299999,56.910000,56.250000,56.680000,55.512375,7123900
2017-04-05,56.799999,57.529999,56.419998,56.470001,55.306702,7857700
2017-04-06,56.439999,56.730000,56.139999,56.529999,55.365463,5757800
2017-04-07,56.580002,56.599998,56.189999,56.320000,55.159790,5229800
2017-04-10,56.430000,56.810001,56.270000,56.520000,55.355671,6039800
2017-04-11,56.320000,56.360001,54.720001,55.349998,54.209774,17301800
2017-04-12,54.639999,54.650002,53.119999,53.389999,52.290150,24822200
2017-04-13,53.130001,53.680000,52.779999,52.790001,51.702511,17014400
2017-04-17,52.990002,53.130001,52.750000,52.889999,51.800449,10471700
2017-04-18,52.599998,52.980000,52.389999,52.669998,51.584980,11262800
2017-04-19,53.000000,53.099998,52.299999,52.610001,51.526218,15441500
2017-04-20,53.220001,53.400002,51.400002,52.660000,51.575188,24664600
2017-04-21,52.770000,52.799999,52.209999,52.500000,51.418488,10951500
2017-04-24,53.009998,53.250000,52.750000,52.810001,51.722099,10784400
2017-04-25,53.169998,53.490002,52.959999,53.000000,51.908184,11688700
2017-04-26,53.200001,53.299999,52.910000,53.040001,51.947361,7373800
2017-04-27,53.240002,53.340000,52.910000,53.209999,52.113857,6956200
2017-04-28,51.799999,53.950001,51.049999,53.740002,52.632942,34374100
2017-05-01,53.650002,53.700001,53.099998,53.599998,52.495823,12987700
2017-05-02,53.650002,53.730000,52.900002,53.290001,52.192211,10445400
2017-05-03,53.410000,54.770000,53.250000,54.490002,53.367489,18428300
2017-05-04,54.730000,55.000000,54.500000,54.910000,53.778839,11993400
2017-05-05,54.930000,55.000000,54.700001,54.930000,53.798428,9108800
2017-05-08,54.990002,55.000000,54.560001,54.619999,53.494812,7033400
2017-05-09,54.689999,55.189999,54.630001,55.150002,54.013893,8332900
2017-05-10,55.220001,55.430000,54.860001,55.330002,54.190186,8517700
2017-05-11,55.250000,55.299999,54.410000,54.680000,53.553577,13514700
2017-05-12,54.500000,55.349998,54.400002,55.320000,54.180393,9107600
2017-05-15,55.080002,55.490002,55.080002,55.400002,54.258743,10686100
2017-05-16,55.389999,55.980000,55.099998,55.950001,54.797413,9599300
2017-05-17,55.639999,56.080002,55.299999,55.360001,54.219566,14811300
2017-05-18,55.580002,56.310001,55.020000,56.119999,54.963909,13125300
2017-05-19,56.490002,57.790001,56.200001,57.669998,56.481979,16643800
2017-05-22,58.389999,59.540001,58.380001,59.279999,58.058811,20771500
2017-05-23,59.380001,59.889999,59.130001,59.220001,58.000053,14223400
2017-05-24,59.279999,59.619999,58.570000,58.639999,57.431995,8592600
2017-05-25,58.650002,58.950001,58.259998,58.450001,57.245914,9556500
2017-05-26,57.660000,57.980000,57.369999,57.520000,56.889858,8179000
2017-05-30,57.279999,57.740002,57.169998,57.340000,56.711826,11553700
2017-05-31,57.259998,57.730000,57.000000,57.270000,56.642597,14082600
2017-06-01,57.450001,58.650002,57.349998,58.619999,57.977806,11560100
2017-06-02,58.889999,58.959999,58.349998,58.580002,57.938244,9538000
2017-06-05,58.500000,59.049999,58.480000,58.860001,58.215176,7960800
2017-06-06,58.599998,58.910000,58.180000,58.200001,57.562408,7871500
2017-06-07,58.299999,58.490002,57.130001,57.529999,56.899746,10126500
2017-06-08,57.770000,58.150002,57.610001,58.119999,57.483280,10322200
2017-06-09,58.369999,58.490002,56.740002,57.049999,56.425003,13624800
2017-06-12,56.520000,57.680000,56.480000,57.490002,56.860188,9985100
2017-06-13,57.950001,58.070000,57.500000,57.540001,56.909637,7111500
2017-06-14,57.700001,57.970001,56.669998,57.009998,56.385441,6740000
2017-06-15,56.419998,57.169998,56.400002,56.930000,56.306320,5416600
2017-06-16,56.980000,57.009998,56.349998,56.820000,56.197525,14555600

